H105
Zero lift angle of attack: -2.98 DEGREES  
Cm0: -.0866
    X        Y   
1.00000   .00000 
 .99645   .00088 
 .98649   .00353 
 .97108   .00762 
 .95055   .01271 
 .92523   .01867 
 .89558   .02530 
 .86207   .03236 
 .82513   .03957 
 .78520   .04667 
 .74269   .05340 
 .69802   .05955 
 .65161   .06492 
 .60385   .06934 
 .55516   .07270 
 .50595   .07493 
 .45662   .07600 
 .40763   .07595 
 .35946   .07484 
 .31258   .07272 
 .26751   .06966 
 .22470   .06570 
 .18461   .06093 
 .14765   .05540 
 .11420   .04920 
 .08459   .04242 
 .05908   .03517 
 .03791   .02760 
 .02125   .01989 
 .00927   .01229 
 .00212   .00513 
 .00061   .00245 
 .00011   .00093 
 .00003  -.00044 
 .00044  -.00175 
 .00129  -.00313 
 .00475  -.00659 
 .01491  -.01268 
 .03019  -.01888 
 .05029  -.02499 
 .07490  -.03081 
 .10373  -.03617 
 .13648  -.04089 
 .17285  -.04482 
 .21249  -.04786 
 .25505  -.04992 
 .30015  -.05094 
 .34738  -.05091 
 .39633  -.04982 
 .44656  -.04773 
 .49761  -.04470 
 .54900  -.04084 
 .60026  -.03628 
 .65088  -.03119 
 .70036  -.02578 
 .74816  -.02025 
 .79374  -.01486 
 .83655  -.00987 
 .87598  -.00559 
 .91136  -.00227 
 .94190  -.00017 
 .96670   .00071 
 .98498   .00070 
 .99621   .00025 
1.00000   .00000 
